College_Name,Location,Affiliation,Streams,NIRF_2024_Ranking,"Median_Package_(Latest,_INR_LPA)",Annual_Intake_Combined,Programs_and_Courses_Offered_Combined,Combined_Address,Stream_Tag,Contact Number,Landline Number,Email,id
"Department of Pharmaceutical Sciences, University of Kashmir","Srinagar ","Autonomous (MoE, Govt of India)",Pharmacy,Not NIRF ranked,-,"BPharm: 60
MPharm: 18","B.Pharm, M.Pharm, Ph.D","Department of Pharmaceutical Sciences, University of Kashmir, Hazratbal, Srinagar - 190006",Pharmacy,,"0194-2415405, 2415078, 2415346",,1
"Government College of Pharmacy, Jammu",Jammu,University of Jammu,Pharmacy,Not NIRF ranked,-,BPharm: 60,B.Pharm,"Government College of Pharmacy, Canal Road, Jammu - 180001",Pharmacy,"8899246693, 8899246694",,,2
AIIMS Jammu - Pharmacology / Pharmacy-related programs.,"AIIMS Vijaypur, Jammu-Samba National Highway, Vijaypur, Samba - 184120",University of Jammu,Pharmacy,Not NIRF ranked,-,,"MBBS, MD, MS, super-specialty medical courses","AIIMS Vijaypur, Jammu-Samba National Highway, Vijaypur, Samba - 184120",Pharmacy,9818837782,0191-4013986,,3
Baba Ghulam Shah Badshah University - Pharmacy (If applicable),"BGSB University, Rajouri - check university site for Dept of Pharmacy",University of Jammu,Pharmacy,Not NIRF ranked,-,"BPharm: 60
MPharm: 18",B.Pharm / M.Pharm (some programs listed in university profiles),"BGSB University, Rajouri - check university site for Dept of Pharmacy",Pharmacy,,-242873,,4
"Amar Singh College, Srinagar",Srinagar,Cluster University of Srinagar,"Arts, Science, Commerce, Vocational",Not NIRF ranked,-,,"BA, B.Sc, B.Com, BCA, PG programmes","Gogji Bagh, Srinagar, Jammu & Kashmir, Pin - 190008",Arts_Science,9796724111,,,5
"Sri Pratap College (SP College), Srinagar",Srinagar,Cluster University of Srinagar,"Arts, Science, Commerce",Not NIRF ranked,-,,"BA, B.Sc, B.Com, BCA, PG programmes","Maulana Azad Road, Srinagar, Jammu & Kashmir, Pin - 190001",Arts_Science,9419082069,�0194-2476828,,6
"Government College for Women, M.A. Road, Srinagar",Srinagar,Cluster University of Srinagar,"Arts, Science, Commerce, Professional",Not NIRF ranked,-,,"BA, B.Sc, B.Com, BCA, BSW, BJMC","M.A. Road, Srinagar, Jammu & Kashmir, Pin - 190001",Arts_Science,9906672263,0194-2479432,,7
"Govt. Gandhi Memorial Science College (GGM), Jammu",Jammu,Cluster University of Jammu / University of Jammu,"Science, select Arts",Not NIRF ranked,-,Arts/Science: 350,"B.Sc subject combinations (Botany-Zoology-Chemistry; PCM; PChemMaths etc.), BCA, PG programmes","Canal Road, Chand Nagar, Jammu, Jammu & Kashmir, Pin - 180016",Arts_Science,,0191-2578189,,8
"Govt Degree College, Baramulla (Autonomous)",Baramulla,Cluster University of Kashmir,"Arts, Science, Commerce",Not NIRF ranked,-,Arts/Science: 1300,"BA, B.Sc, B.Com, PG programmes","National Highway Road, Khwaja-Bagh, Baramulla, Jammu & Kashmir, Pin - 193101",Arts_Science,9419032863,01952-234214,,9
"Government Degree College, Anantnag (Boys)",Anantnag,Cluster University of Kashmir,"Arts, Science, Commerce",Not NIRF ranked,-,,"BA, B.Sc, B.Com, BCA","National Highway 1A, Khanabal, Anantnag, Jammu & Kashmir, Pin - 192101",Arts_Science,9419005803,"0193-2222308
0193-2223509",principal@gdcboysang.ac.in,10
