college_name,district,type,courses_offered,facilities,contact,cutoff_percentage,fees_annual
Govt. Degree College Sopore,Anantnag,Private,"M.Com, BA Political Science, B.Sc Physics","Library, Lab",principal@gdc.com,NA,NA
Islamia College Srinagar,Kupwara,Private,M.Com,"Library, Hostel",college123@gmail.com,80%,30000
Govt. Degree College Baramulla,Anantnag,Private,"B.Tech CSE, B.Sc Physics","Lab, Sports",NA,70%,NA
Cluster University Srinagar,Srinagar,Government,B.Ed,"Library, Hostel",contact@university.com,70%,30000
Kashmir University,Pulwama,Private,"BA English, B.Sc Physics, B.Com","Lab, Sports",NA,65%,25000
SP College,Shopian,Government,"B.Tech CSE, BA English","Hostel, Library, Lab, Sports",contact@university.com,75%,20000
Govt. Degree College Baramulla,Anantnag,Government,B.Tech CSE,"Library, Hostel",principal@gdc.com,75%,NA
Govt. Degree College Anantnag,Baramulla,Private,"B.Com, B.Tech CSE","Hostel, Sports",NA,80%,25000
Central University of Kashmir,Budgam,Private,"MBA, B.Com","Hostel, Sports",NA,80%,30000
SP College,Baramulla,Autonomous,"M.Com, M.Sc Chemistry, B.Com","Library, Lab",info@college.com,75%,30000
Kashmir University,Kathua,Government,"B.Tech CSE, B.Sc Physics","Lab, Sports",college123@gmail.com,75%,25000
Islamia College Srinagar,Srinagar,Private,"B.Ed, MBA","Library, Lab",principal@gdc.com,80%,NA
Islamia College Srinagar,Jammu,Government,"M.Sc Chemistry, M.Com","Hostel, Library, Lab, Sports",info@college.com,NA,NA
Govt. Degree College Sopore,Jammu,Government,B.Tech CSE,"Hostel, Sports",college123@gmail.com,70%,25000
Govt. Degree College Sopore,Pulwama,Autonomous,M.Sc Chemistry,"Hostel, Sports",principal@gdc.com,65%,NA
Govt. Degree College Sopore,Anantnag,Government,B.Com,"Library, Hostel",contact@university.com,70%,25000
Govt. Degree College Srinagar,Anantnag,Government,"B.Ed, BA English","Hostel, Sports",college123@gmail.com,70%,15000
Central University of Kashmir,Budgam,Private,M.Sc Chemistry,"Library, Lab",contact@university.com,65%,NA
Kashmir University,Jammu,Government,"BCA, B.Sc Physics, B.Tech CSE","Library, Lab",NA,80%,25000
Govt. Degree College Sopore,Pulwama,Autonomous,B.Com,"Hostel, Library, Lab, Sports",principal@gdc.com,65%,30000
Kashmir University,Bandipora,Government,"MBA, BCA","Hostel, Sports",contact@university.com,80%,15000
Islamia College Srinagar,Pulwama,Government,BA English,"Library, Hostel",college123@gmail.com,65%,20000
Govt. Degree College Anantnag,Anantnag,Government,"BA Political Science, B.Ed, MBA","Hostel, Sports",principal@gdc.com,80%,20000
Govt. Degree College Jammu,Shopian,Autonomous,"MBA, BCA, M.Com","Lab, Sports",NA,70%,30000
